P00350	P00350	1
P00509	P00509	1
P00579	P00579	1
P00579	P09377	1
P00579	P0A7C2	1
P00579	P0ACH8	1
P00579	P0AG96	1
P00805	P25535	1
P00888	P68646	1
P00893	P00893	1
P00894	P00893	1
P00894	P00894	1
P00895	P00936	1
P00895	P51020	1
P00909	P68646	1
P00909	Q46941	1
P00914	P00914	1
P00926	P30750	1
P00934	P68646	1
P00936	P76097	1
P00956	P02925	1
P00956	P15042	1
P00956	Q46948	1
P00957	Q46948	1
P00959	P60422	1
P00960	P21189	1
P00960	P69741	1
P00961	P00960	1
P00963	P00963	1
P00968	P00968	1
P02358	P0A7T7	1
P02413	P0A7W7	1
P02413	P36979	1
P02925	P02925	1
P02925	P06612	1
P02925	P15042	1
P02925	P33129	1
P02930	P0A855	1
P02931	P76129	1
P03004	P18843	1
P03004	P76514	1
P03007	P03007	1
P03007	P06710	1
P03007	P0ADN2	1
P03018	P09980	1
P03018	P23843	1
P03018	P25665	1
P03023	Q46948	1
P03024	P03024	1
P04335	P42599	1
P04825	P04825	1
P04825	P09152	1
P04825	P19317	1
P04825	P19318	1
P04825	Q46948	1
P04951	P67430	1
P04983	P04983	1
P04983	P0AEE5	1
P04983	P0AEV4	1
P04983	P16685	1
P04983	Q46896	1
P05020	P0AGJ2	1
P05041	P00903	1
P05100	P30750	1
P05523	P0A9H9	1
P05523	P0AFD1	1
P05523	P15373	1
P05523	P24242	1
P05793	P31060	1
P05827	P00936	1
P05827	P31666	1
P05852	P05852	1
P05852	P76256	1
P06134	P00579	1
P06134	P0AEJ8	1
P06134	P11071	1
P06136	P29131	1
P06136	P76080	1
P06616	P24242	1
P06710	P06710	1
P06710	P0A988	1
P06710	P28905	1
P06722	P23367	1
P06864	P0A6S3	1
P06864	P0A955	1
P06864	P25437	1
P06864	P32053	1
P06864	P77409	1
P06959	P0A9P0	1
P06974	P06974	1
P06987	P05637	1
P06987	P06987	1
P06987	P0ACA7	1
P06988	P36879	1
P06993	P04983	1
P06993	P05020	1
P06993	P06993	1
P06993	P08622	1
P06993	P0A7G6	1
P06993	P0ACG8	1
P06993	P0CE48	1
P06993	P19636	1
P06993	P31574	1
P06993	P36979	1
P06993	P52613	1
P06993	Q46948	1
P07000	P0A6I0	1
P07000	P0A8A0	1
P07000	P0A8C4	1
P07000	P0A8X0	1
P07000	P0AAQ6	1
P07000	P0AAU7	1
P07000	P0ABQ4	1
P07000	P0ADN2	1
P07000	P18775	1
P07000	P61949	1
P07000	Q46864	1
P07001	P07001	1
P07001	P0A7W7	1
P07004	P07004	1
P07014	P0ACM9	1
P07026	P07012	1
P07026	P0AF12	1
P07026	P38506	1
P07118	P07118	1
P07364	P0AGB6	1
P07364	P39280	1
P07364	P52612	1
P07395	P07395	1
P07395	P0AG90	1
P07639	P07639	1
P07639	P33014	1
P07639	P37909	1
P07639	P39834	1
P07639	P68646	1
P07649	P68646	1
P07813	P02925	1
P07813	P06612	1
P07813	P15042	1
P07813	P19930	1
P07813	P33129	1
P07813	Q46948	1
P08142	P08142	1
P08142	P0ADF8	1
P08142	P0ADG1	1
P08178	P37909	1
P08179	P08179	1
P08312	P07395	1
P08312	P08312	1
P08312	P0AD99	1
P08312	P17117	1
P08312	P39176	1
P08312	Q46864	1
P08312	Q46948	1
P08312	Q47147	1
P08337	P08337	1
P08337	P37909	1
P08368	P08368	1
P08373	P45577	1
P08373	P68646	1
P08390	P0ADK6	1
P08390	P0ADW6	1
P08394	P0A7G6	1
P08401	P08368	1
P08622	Q46948	1
P08722	P0A8A8	1
P08839	P0AEL8	1
P08839	Q46948	1
P09147	P09147	1
P09153	P09147	1
P09153	P0AAN5	1
P09153	P0ABB0	1
P09153	P0AFB5	1
P09153	P39325	1
P09162	P07821	1
P09184	P06136	1
P09184	P0ACL5	1
P09373	P0A858	1
P09373	P76180	1
P09378	P00579	1
P09378	P0A7C2	1
P09378	P17410	1
P09557	P0ABQ4	1
P09557	P0AGG0	1
P09557	P18843	1
P09557	P25539	1
P09833	P42630	1
P09980	P09980	1
P09980	P45577	1
P09996	P76079	1
P0A6A6	P30126	1
P0A6B7	P32177	1
P0A6E6	P0A6E6	1
P0A6E9	P27254	1
P0A6E9	P75966	1
P0A6F1	P00968	1
P0A6F1	P0AD21	1
P0A6F5	P00887	1
P0A6F5	P07913	1
P0A6F5	P09372	1
P0A6F5	P19323	1
P0A6F5	P37640	1
P0A6F5	P76524	1
P0A6F5	Q46948	1
P0A6G5	P0ACL5	1
P0A6G5	P30138	1
P0A6G7	P0A6G7	1
P0A6H1	P0A6H1	1
P0A6K3	P0A9S1	1
P0A6K3	P0AGJ2	1
P0A6K6	P45577	1
P0A6L2	P0A6L2	1
P0A6L9	P0A6Z1	1
P0A6L9	P0ACD4	1
P0A6L9	P21170	1
P0A6S5	P0A725	1
P0A6S7	P0A6S7	1
P0A6T1	P0A6T1	1
P0A6T3	P09153	1
P0A6T3	P68646	1
P0A6T5	P0A6T5	1
P0A6T9	P33195	1
P0A6U3	P25522	1
P0A6V1	P18133	1
P0A6W9	P30750	1
P0A6X7	P0A8F8	1
P0A6Y8	P08622	1
P0A6Y8	P0A6Y8	1
P0A6Y8	P0A6Z3	1
P0A6Y8	P36659	1
P0A6Y8	P63284	1
P0A6Y8	Q46948	1
P0A6Z3	P0A6Z3	1
P0A6Z6	P09147	1
P0A6Z6	P0AE58	1
P0A6Z6	P0AFT8	1
P0A6Z6	P19636	1
P0A6Z6	P39405	1
P0A6Z6	P45577	1
P0A6Z6	P68646	1
P0A6Z6	P68688	1
P0A6Z6	P77295	1
P0A6Z6	P77650	1
P0A754	P0AAF3	1
P0A763	P0A805	1
P0A776	P61949	1
P0A786	P0A7F3	1
P0A799	P28305	1
P0A7C2	P09377	1
P0A7C2	P0A7C2	1
P0A7C2	P76161	1
P0A7I4	P37182	1
P0A7J0	P0A7J0	1
P0A7J3	Q46948	1
P0A7J7	Q46948	1
P0A7K2	P0AB38	1
P0A7K2	P37387	1
P0A7K2	Q46948	1
P0A7L8	P61949	1
P0A7L8	Q46948	1
P0A7M2	P0A7N4	1
P0A7M2	Q46948	1
P0A7M9	P09153	1
P0A7M9	P0AEI4	1
P0A7M9	P11454	1
P0A7Q1	P0A7B1	1
P0A7T7	P0A7W7	1
P0A7U3	P0A7W7	1
P0A7U3	P0A7X6	1
P0A7U3	Q46948	1
P0A7V8	P0A7W7	1
P0A7V8	P61949	1
P0A7V8	Q46948	1
P0A7W1	P0ADZ0	1
P0A7W1	P30850	1
P0A7W1	P61949	1
P0A7W7	P0A7N4	1
P0A7W7	P0A7W7	1
P0A7W7	P60422	1
P0A7W7	P77808	1
P0A7W7	Q46802	1
P0A7X3	P75973	1
P0A7X6	P00893	1
P0A7Y0	P10908	1
P0A7Y8	P0A8E5	1
P0A7Y8	P63386	1
P0A7Z4	Q46948	1
P0A805	P00805	1
P0A805	P04983	1
P0A805	P07649	1
P0A805	P09147	1
P0A805	P0A6T3	1
P0A805	P0A7J7	1
P0A805	P0A805	1
P0A805	P0A8E1	1
P0A805	P0A988	1
P0A805	P0A9A2	1
P0A805	P0A9I3	1
P0A805	P0A9R4	1
P0A805	P0ABB0	1
P0A805	P0AC81	1
P0A805	P0AD49	1
P0A805	P0AE08	1
P0A805	P0C0L2	1
P0A805	P32700	1
P0A805	P37188	1
P0A805	P45579	1
P0A805	P76364	1
P0A809	P0A809	1
P0A823	P07004	1
P0A828	P0A8E1	1
P0A832	P0A832	1
P0A853	P0A853	1
P0A853	P0AEW6	1
P0A855	P0A9J4	1
P0A855	P0AB38	1
P0A855	P24242	1
P0A862	P0A805	1
P0A862	P0A8E1	1
P0A862	Q46948	1
P0A873	P0A873	1
P0A879	P76506	1
P0A887	P0AG11	1
P0A887	P32662	1
P0A890	P0A6B7	1
P0A8A0	P33358	1
P0A8A4	P0A8A4	1
P0A8A4	P22634	1
P0A8A4	P64540	1
P0A8A4	P64602	1
P0A8A8	Q46802	1
P0A8B2	P00960	1
P0A8B2	P32677	1
P0A8B2	P46888	1
P0A8B2	P77257	1
P0A8C4	P0AFW2	1
P0A8C4	P0AGK4	1
P0A8D0	P07109	1
